2BQ5IgAACAAJ;"Гарри Поттер и узник Азкабана";"J. K. Rowling"
l9wHAQAAMAAJ;"Гарри Поттер и кубок огня";"J. K. Rowling"
eNsHAQAAMAAJ;"Гарри Поттер и тайная комната";"J. K. Rowling"
nxIvRxD9-UQC;"Мальчик Гарри и его собака Поттер";"Валентин Постников"
VNJnTUZ97HQC;"Гарри Поттер в церкви: между анафемой и улыбкой";"не автора"
_GaYDQAAQBAJ;"Как работает экономика: Что Rolling Stones, Гарри Поттер и большой спорт могут рассказать о свободном рынке";Д.Тамни
mmzhBwAAQBAJ;"Гарри Поттер и философский камень - Harry Potter and the Philosopher's Stone";"Дж. К. Роулинг"
M6rFDQAAQBAJ;"Джоан Роулинг. Всё о Гарри Поттере, жизни и любви";"Софья Бенуа"
m7NBAQAAIAAJ;"Поттер, ""Наказание охотника.""";"Рахиль Моисеевна Хай"
z75qDwAAQBAJ;"Сказка о кролике Питере";"Беатрис Поттер"
aG0KBgAAQBAJ;"Garre potter Гарри Поттер и узник Азкабана";"не автора"
bpAqDQAAQBAJ;"Загадки Джоан Ролинг, или Перечитывая «Гарри Поттера и...»";"Владимир Седой"
zwmNGAAACAAJ;"Гарри Поттер и Орден Феникса";"J. K. Rowling"
vb5qDwAAQBAJ;"Сказка о Флопсиках";"Беатрис Поттер"
ib9qDwAAQBAJ;"Детские стишки Сесили Парсли";"Беатрис Поттер"
cs7UkQEACAAJ;"""Гарри Поттер"" как филологический камень: семикнижие Джоан Роулинг в зеркале викторианской культуры и английского текста Первой мировой войны (WWI)";"Е. П. Барановская"
ZIvfBQAAQBAJ;"Garre potter dari smerti";J.K.Rowling
3FdgDgAAQBAJ;"Гадкий утенок, Гарри Поттер и другие. Путеводитель по детским книгам о сиротах";"Ольга Бухина"
NGgKBgAAQBAJ;"Garre potter Гарри Поттер и узник Азкабана";J.K.Rowling
Ib_bBQAAQBAJ;"Garre potter";J.K.Rowling
j79qDwAAQBAJ;"Портной из Глостера";"Беатрис Поттер"
kb9qDwAAQBAJ;"Сказка о Бенджамине Кроле";"Беатрис Поттер"
k79qDwAAQBAJ;"Сказка о двух вредных мышках";"Беатрис Поттер"
s75qDwAAQBAJ;"Сказка о миссис Тигги-Винкл";"Беатрис Поттер"
0b5qDwAAQBAJ;"Сказка о мистере Джереми Фишере";"Беатрис Поттер"
hPnEsgEACAAJ;"Гарри Поттер и философский камень";"Джоан К. Ролинг"
hQa7AAAAQBAJ;"Три мировоззрения: монизм, дуализм, тринитаризм. Взгляд на историю реальности";"Эллис Поттер"
QxzDswEACAAJ;"Гарри Поттер и узник Азкабана";"Joanne K. Rowling"
SUsBlavr3JoC;"Крупнейшие и самые устойчивые мировые состояния";"Валерия Башкирова"
PZohAQAAIAAJ;"Исторические и литературные источники романов о Гарри Поттере";"И. Л. Галинская"
WdJBtAEACAAJ;"Гарри Поттер и проклятое дитя. Части 1 и 2";"Joanne K. Rowling"
VQ6DAQAAQBAJ;"Кто поставил шрам Гарри Поттеру?";"Наталья Щерба"
Oe1rkQEACAAJ;"Гарри Поттер и философия. Хогвартс для маглов";"не автора"
4lrHNwAACAAJ;"Гарри Поттер: волшебство бренда";"Стивен Браун"
X6VAtAEACAAJ;"Гарри Поттер и тайная комната";"J. K. Rowling"
dDCStAEACAAJ;"Гарри Поттер и философский камень";"J. K. Rowling"
0i5XswEACAAJ;"Гарри Поттер и орден Фениска";"J. K. Rowling"
hVAB_y_u1JAC;"Знаем ли мы свои любимые сказки? Скрытый смысл, зашифрованный сказочниками. Читаем между строк";"Елена Коровина"
-5pqkgAACAAJ;"Гарри Поттер и принц-полукровка";"не автора"
lZ2gAAAAQBAJ;"Дневник читателя. Русская литература в 2007 году";"Андрей Немзер"
